Year,Quarter,Company ,Category,Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI
2022,1,AAPL,IT,97.278,42.559,25.01,1.54,32.716,67.399,0.93,4.2,152.88,28.86,69.05
2022,2,AAPL,IT,82.959,35.885,19.442,1.2,25.881,58.107,0.87,4.79,152.97,28.08,70.2
2022,3,AAPL,IT,90.146,38.095,20.721,1.3,27.759,50.672,0.88,5.96,160.9,28.1,73.31
2022,4,AAPL,IT,117.154,50.332,29.998,1.89,38.322,56.727,0.94,5.11,163.45,27.46,72.41
2021,1,AAPL,IT,89.581,37.382,23.405,1.4,28.813,69.178,1.14,3.87,111.8,22.91,52.79
2021,2,AAPL,IT,81.434,35.255,21.744,1.31,26.958,64.28,1.06,4.13,131.01,25.82,59.02
2021,3,AAPL,IT,83.36,35.174,20.551,1.25,26.775,63.09,1.08,4.56,144.12,27.6,63.57
2021,4,AAPL,IT,123.945,54.243,34.63,2.11,44.185,71.932,1.04,4.3,149.81,28.75,66.93
2020,1,AAPL,IT,58.313,21.827,11.124,0.64,15.363,78.425,1.5,3.09,64.49,17.31,36.76
2020,2,AAPL,IT,59.685,22.68,11.253,0.65,15.843,72.282,1.47,3.39,70.66,17.75,38.43
2020,3,AAPL,IT,64.698,24.689,12.673,0.76,17.477,65.339,1.36,3.96,75.15,17.63,38.97
2020,4,AAPL,IT,111.439,44.328,28.755,1.7,36.2,66.224,1.16,4.35,90.59,19.44,44.77
2019,1,AAPL,IT,58.015,21.821,11.561,0.62,16.455,105.86,1.32,2.23,51.29,15.98,31.95
2019,2,AAPL,IT,53.809,20.227,10.044,0.55,14.477,96.456,1.51,2.34,52.13,15.87,32.65
2019,3,AAPL,IT,64.04,24.313,13.686,0.77,18.404,90.488,1.54,2.74,53.82,16.06,33.18
2019,4,AAPL,IT,91.819,35.217,22.236,1.26,28.535,89.531,1.6,2.8,60.18,17.13,35.64
2018,1,AAPL,IT,58.015,21.821,11.656,0.71,16.245,126.878,1.46,1.9,39.97,14.27,28.54
2018,2,AAPL,IT,53.265,20.421,11.519,0.69,15.604,114.949,1.31,2.04,43.5,14.98,29.66
2018,3,AAPL,IT,62.9,24.084,14.125,0.74,18.872,107.147,1.13,2.41,48.68,15.99,32.03
2018,4,AAPL,IT,84.31,32.031,19.965,1.05,26.741,117.892,1.3,2.17,50.92,16.33,31.91
2017,1,AAPL,IT,52.896,20.591,11.029,0.53,16.142,134.082,1.39,1.5,35.09,14.15,28.81
2017,2,AAPL,IT,45.408,17.488,8.717,0.42,13.122,132.425,1.39,1.61,35.4,14,28.21
2017,3,AAPL,IT,52.579,19.931,10.714,0.52,15.604,134.047,1.28,1.8,36.29,13.95,27.94
2017,4,AAPL,IT,88.293,33.912,20.065,0.97,29.019,140.199,1.24,1.9,37.37,13.83,28.05
2016,1,AAPL,IT,50.557,19.221,10.516,0.48,16.464,130.457,1.28,1.34,40.24,17.44,36.78
2016,2,AAPL,IT,42.358,16.106,7.796,0.36,12.631,126.541,1.31,1.42,37.89,16.01,33.56
2016,3,AAPL,IT,46.852,17.813,9.014,0.43,14.039,128.249,1.35,1.51,35.59,14.91,30.76
2016,4,AAPL,IT,78.351,30.176,17.891,0.84,26.346,132.39,1.23,1.5,34.94,14.31,29.42
2015,1,AAPL,IT,58.01,23.656,13.569,0.58,20.277,129.006,1.16,1.03,39.44,19.56,41.58
2015,2,AAPL,IT,49.605,19.681,10.677,0.47,17.167,125.677,1.09,1.17,41.46,19.74,42.45
2015,3,AAPL,IT,51.501,20.548,11.124,0.5,17.742,119.355,1.11,1.43,42.94,19.66,42.48
2015,4,AAPL,IT,75.572,30.423,18.361,0.82,26.725,128.267,1,1.29,42.79,19.22,40.87
2014,1,AAPL,IT,45.646,17.947,10.223,0.41,15.48,120.179,1.63,0.71,30.36,18,35.63
2014,2,AAPL,IT,37.432,14.735,7.748,0.32,12.228,120.94,1.47,0.84,31.2,17.92,35.78
2014,3,AAPL,IT,42.123,16.009,8.467,0.36,13.134,111.547,1.08,1.08,32.76,17.85,36.57
2014,4,AAPL,IT,74.599,29.741,18.024,0.77,26.121,123.328,1.13,1.12,37.36,19.28,40.64
2013,1,AAPL,IT,43.603,16.349,9.575,0.31,14.25,135.49,1.78,0.44,32.2,21.74,inf
2013,2,AAPL,IT,35.323,13.024,6.9,0.27,10.895,123.354,1.88,0.62,29.93,19.69,142.29
2013,3,AAPL,IT,37.472,13.871,7.512,0.3,11.813,123.549,1.68,0.68,29.06,18.57,69.79
2013,4,AAPL,IT,57.594,21.846,13.072,0.52,19.607,129.684,1.49,0.74,28.93,17.92,46.09
2012,1,AAPL,IT,39.186,18.564,11.573,0.44,16.532,102.498,1.58,0.47,45.63,30.13,inf
2012,2,AAPL,IT,35.023,14.994,8.824,0.34,12.408,111.746,1.57,0.46,42.14,28.22,inf
2012,3,AAPL,IT,35.966,14.401,8.223,0.31,11.125,118.21,1.5,0.49,39.51,26.56,inf
2012,4,AAPL,IT,54.512,21.06,13.078,0.5,18.798,127.346,1.54,0.54,36.32,24.34,inf
2011,1,AAPL,IT,24.667,10.218,5.987,0.23,8.308,61.477,1.93,0.54,37.77,24.32,inf
2011,2,AAPL,IT,28.571,11.922,7.308,0.28,9.86,69.343,1.75,0.54,40.48,25.97,inf
2011,3,AAPL,IT,28.27,11.38,6.623,0.26,9.253,76.615,1.61,0.52,39.56,25.62,inf
